sentence,entities,entities_spans,label
"Fil diagnoses were separated into EPILEPSY alone, PSEUDOSEIZURES, epilepsy and pseudoseizures, and other (neither epilepsy nor pseudoseizures","[('PSEUDOSEIZURES', 'DISE'), ('EPILEPSY', 'DRUG')]","[(52, 66, 'DISE'), (36, 44, 'DRUG')]",0
OBJECTIVE: To report a case of possible foscarnet-induced severe hypomagnesemia and other electrolyte disorders.,"[('foscarnet', 'DRUG'), ('electrolyte disorders', 'DISE')]","[(40, 49, 'DRUG'), (90, 111, 'DISE')]",1
"HTLV 1 causes adult T cell leukemia/lymphoma (ATL), T cell non Hodgkin lymphoma, and an unusual neurodegenerative syndrome desigted TROPICAL SPASTIC PARAPARESIS or HTLV 1 associated myelopathy (TSP/HAM.","[('TROPICAL SPASTIC PARAPARESIS', 'DISE'), ('HTLV 1', 'SYMP')]","[(134, 162, 'DISE'), (0, 6, 'SYMP')]",1
"Certain spermicides and contraceptive creams can kill L ACIDOPHILUS in the vagi, clearing the path to possible YEAST INFECTIONS.","[('L ACIDOPHILUS', 'DISE'), ('YEAST INFECTIONS', 'DRUG')]","[(54, 67, 'DISE'), (113, 129, 'DRUG')]",2
"Thrombotic thrombocytopenic purpura is a clinical syndrome defined by the pentad of thrombocytopenia, MICROANGIOPATHIC HEMOLYTIC ANEMIA, FEVER, and rel and neurologic abnormalities","[('FEVER', 'DISE'), ('MICROANGIOPATHIC HEMOLYTIC ANEMIA', 'DRUG')]","[(137, 142, 'DISE'), (102, 135, 'DRUG')]",0
In the neotal population AMETHOCAINE was found to be ineffective at reducing the PAIN of heel prick and peripherally inserted central catheters.,"[('PAIN', 'DISE'), ('AMETHOCAINE', 'DRUG')]","[(83, 87, 'DISE'), (27, 38, 'DRUG')]",2
"44 , 45  Recombint human activated protein C (APC, or DROTRECOGIN ALFA activated) has been shown to significantly reduce mortality in patients with severe SEPSIS (mortality was 24.7% in patients given APC versus 30.8% in patients given placebo.","[('SEPSIS', 'DISE'), ('DROTRECOGIN ALFA', 'DRUG')]","[(157, 163, 'DISE'), (56, 72, 'DRUG')]",2
"trial  Lancet  Acupuncture in patients with osteoarthritis of the knee: a randomised trial  New England Jourl of Medicine  Glucosamine, chondroitin sulfate, and the two in combition for painful knee osteoarthritis  Osteoarthritis and Cartilage  A randomized, placebo controlled, cross over study of ginger extracts and ibuprofen in osteoarthritis  Rheumatic Diseases Clinics of North America  Homeopathy and rheumatic disease  Rheumatology (Oxford)  A randomized, double blind, placebo controlled trial of GLUCOSAMINE SULPHATE as an algesic in OSTEOARTHRITIS OF THE KNEE  Review  Altertive Medicine Review  tural treatments for osteoarthritis  Arthritis and.","[('OSTEOARTHRITIS OF THE KNEE', 'DISE'), ('GLUCOSAMINE SULPHATE', 'DRUG')]","[(550, 576, 'DISE'), (510, 530, 'DRUG')]",2
"New evidence shows that a gluten-free diet may be beneficial for some patients with gastrointestinal symptoms, such as those symptoms commonly found in patients with IBS.","[('gluten-free diet', 'FOOD'), ('gastrointestinal symptoms', 'DISE')]","[(26, 42, 'FOOD'), (84, 109, 'DISE')]",2
Antipsychotics : Long term use of TRIHEXYPHENIDYL may mask or increase the risk of TARDIVE DYSKINESIA.,"[('TARDIVE DYSKINESIA', 'DISE'), ('TRIHEXYPHENIDYL', 'SYMP')]","[(83, 101, 'DISE'), (34, 49, 'SYMP')]",1
TOPICAL 0.2% GLYCERYL TRINITRATE OINTMENT for AL FISSURES: long term efficacy in routine clinical practice.,"[('AL FISSURES', 'DISE'), ('TOPICAL 0.2% GLYCERYL TRINITRATE OINTMENT', 'DRUG')]","[(46, 59, 'DISE'), (0, 41, 'DRUG')]",2
"Investigation confirmed the diagnosis of rhabdomyolysis, and discontinuation of colchicine resulted in resolution of clinical and biochemical features of rhabdomylysis.","[('colchicine', 'DRUG'), ('rhabdomylysis', 'DISE')]","[(80, 90, 'DRUG'), (154, 167, 'DISE')]",1
"Infectious bronchitis is one of the most common diseases in the poultry industry in many countries, especially in the regions with a dense poultry farming industry.","[('bronchitis', 'DISE'), ('poultry', 'FOOD'), ('poultry', 'FOOD')]","[(11, 21, 'DISE'), (64, 71, 'FOOD'), (139, 146, 'FOOD')]",0
B]  Specific recommendation: • Screen for CELIAC DISEASE in men and women with unexplained INFERTILITY,"[('INFERTILITY', 'DISE'), ('CELIAC DISEASE', 'SYMP')]","[(91, 102, 'DISE'), (42, 56, 'SYMP')]",1
Double blind trial of ASPIRIN in primary prevention of MYOCARDIAL INFARCTION in patients with stable chronic angi pectoris.,"[('MYOCARDIAL INFARCTION', 'DISE'), ('ASPIRIN', 'DRUG')]","[(55, 76, 'DISE'), (22, 29, 'DRUG')]",2
